病原名称,拉丁名称,生物分类编号,同义词,病原体类型,病原体分类,世系信息,病原危害程度分类,生物安全等级,形态结构,图片,宿主分布,传播方式,易感性因素,人际传播力,致病力,相关疾病,人畜共患病,疾病等级,病死率,感染组织,疾病潜伏期,临床表型,流行季节,流行地域,历史爆发情况,参考基因组,参考基因组链接,GC含量（%）,基因组大小,分型,人类宿主受体,宿主结合蛋白,毒力因子,检测方法,疫苗有无,疫苗信息描述,药物有无,药物信息描述,抗原,灭活方法,,,,,
猴疱疹病毒,Simplexvirus macacinealpha1,3050305,"Herpesvirus   simiae
",病毒,双链DNA,"iruses,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Alphaherpesvirinae,Simplexvirus,Simplexvirus",1,BSL-3,,,人类，猕猴属的猴子，包括恒河猴 （M. mulatta）、食蟹猴 （M. fascicularis）、树桩尾猴 （M. artoides）、日本猴 （M. fuscata）、猪尾猴 （M. nemestrina）、帽子猴 （M. radiata）?和台湾猕猴 （M. cyclopis）兔子、狗、小鼠和豚鼠已经被实验感染,最常见的感染途径是通过猴子咬伤/抓伤或笼子抓伤直接接种猴子的组织或液体;实验室通过受污染的污染物损伤获得性感染，例如针刺和含有受感染猴细胞的破损组织培养瓶的割伤，也会导致人类感染,no,低传染性,高致病性,MaHV-1 可能表现为亚临床感染，或感染部位附近的局部水疱疹，伴有发热、肌痛、头痛和恶心,是,中国法定乙类传染病,未经治疗的个体的死亡率为 70-80%，神经系统后遗症在幸存者中很常见,中枢神经系统,几天到7年以上，75%患者在接触后90内发病,水疱疹在临床和病理学上与人类单纯疱疹病毒引起的水疱疹相似69.神经系统症状在症状出现后 3 至 7 天内出现，可能包括假性脑膜炎、恶心、呕吐、持续性头痛、意识模糊、复视、吞咽困难、头晕、构音障碍、颅神经麻痹和共济失调,无季节规律,除澳大利亚、英国、新西兰、日本等岛屿国家外其他国家和地区都有,人类在自然界中感染 MaHV-1 的情况很少见。全球已报告约 50 例病例，几乎全部涉及实验室工作1932 年，一名实验室研究人员被一只看似健康的恒河猴咬伤，报告了第一例人类 MaHV-1 病例。研究人员在 15 天后死于进行性脑脊髓炎人员在亚洲的高接触地区，没有报告自然接触猕猴后感染人畜共患 MaHV-1 的病例，估计有 72-92% 的猕猴对 MaHV-1 反应性抗体呈血清反应阳性,GCF_018580855.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_018580855.1/,75.6,157.4  Kb,,,,no,"使用 PCR、酶联免疫吸附测定 （ELISA）、Western 印迹和 PCR-微孔板杂交测定法分析由拭子标本、脑脊液和穿刺活检材料制备的 MaHV-1 病毒培养物,磁共振成像 （MRI）、计算机断层扫描 （CT） 和脑电图 （EEG） 脑部扫描也可用于检测 MaHV-1 感染的神经系统体征",有,Imovax Rabies，人类二倍体细胞疫苗(HDCV)，或RabAvert，一种纯化鸡胚细胞疫苗(PCECV)。,有,阿昔洛韦、伐昔洛韦和泛昔洛韦，伐昔洛韦是首选药物,,MaHV-1对0.25%次氯酸钠、聚维酮碘和氯己定敏感。大多数疱疹病毒也对季铵化合物、乙醇和异丙醇敏感。疱疹病毒可通过加热(56°C至少10分钟)、pH小于5或大于11灭活,,,,,
黄热病毒,Orthoflavivirus flavi,3046277,Yellow ? fever virus,病毒,正义单链RNA病毒,"Viruses,Riboviria,Orthornavirae,Kitrinoviricota,Flasuviricetes,Amarillovirales,Flaviviridae,Orthoflavivirus,Orthoflavivirus",1,BSL-3,无,无,人类、非人灵长类动物、刺猬和金仓鼠,黄热病毒由受感染的非人类灵长类动物和其他人通过伊蚊和血蚊叮咬传播给人类,no,无,高致病性,15% 至 50 % 的黄热病感染者会突然出现发热、发冷和头痛.在那些患病的人中，大约 57% 到 85% 会流产感染并康复，而不会发展为典型的黄热血病,是,中国法定乙类传染病,肝肾功能衰竭患者的病死率为 20% 至近 50%,,3 至 6 天,"感染、缓解和中毒。

感染 ： 这个阶段通常持续 3 或 4 天，其特征是强烈的病毒血症，症状包括发烧、发冷、不适、头痛、腰痛、膝盖疼痛、全身肌痛、恶心和头晕.检查时，患者的心率低于发烧（Faget 征）的预期心率，以及结膜、舌头和面部的充血和红斑。大多数感染在此阶段消退。温度高达 40.5°C 与严重疾病和不良结果相关.

缓解 ：这个阶段的典型特征是发烧和其他全身症状减轻约 48 小时。病毒血症可能仍然存在，但通常会减弱.

中毒 ： 大约 15% 至 25% 出现任何临床症状的人（或所有感染者的 10%）进展到这个阶段，这通常发生在发病后 3 至 6 天，可持续 3 至 8 天。在此期间，病毒血症消失，出现抗体以及 YF 的典型体征（黄疸、肾功能衰竭和出血）.这个阶段的常见症状包括发热、相对心动过缓、呕吐、恶心、上腹痛、黄疸、少尿和出血表现（黑便、血尿、非月经子宫出血、瘀点、瘀斑、鼻出血以及牙龈和针刺部位渗血）.许多患者会发展为多器官衰竭，以肝脏、肾脏、血液和心血管受累为主.

肝肾功能衰竭患者的病死率为 20% 至近 50%.死亡前通常伴有严重的低血压和休克，这些很难用液体和血管加压药来控制",无季节规律,非洲和南美洲的热带地区,"黄热病仅发生在非洲和南美洲的热带地区45 7.每年约有 200,000 例黄热病病例，其中 90 % 在非洲.非洲每年报告的黄热病病例高达 5,000 例，南美洲每年报告高达 300 例，但据信真实发病率比官方报告高 10 到 50 倍.

存在三种不同的传播周期。非洲和南美洲的热带雨林中出现了森林（丛林）循环，YFV 在非人类灵长类动物和蚊子之间传播.人类病例很少见，通常发生在森林或过渡地区职业暴露的人群中。非洲和南美洲都存在城市人-蚊-人传播循环;仅在非洲发生的热带草原循环涉及 YFV 在猴子、蚊子和人类之间的传播。",GCA_000857725.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_000857725.1/,21.3 ~ 50.4,10.9 Kb,,,,no,"血液中分离病毒,免疫荧光、PCR、实时 PCR、补充固定、血凝素抑制、中和和 IgM 捕获 ELISA",有,有 2 种黄热病毒减毒活疫苗可用：嗜神经性法国达喀尔疫苗和17D 菌株，后者是唯一获准在加拿大使用的制剂。免疫力在初次免疫后 10 天产生，并持续 10 年以上.只有 PHAC 批准的指定黄热病疫苗接种中心诊所才能进行黄热病免疫接种，然后应将其记录在经过适当验证的国际疫苗接种证书上。,无,无,,"被 3% 至 8% 的甲醛、2% 的戊二醛、2% 至 3% 的过氧化氢、500 至 5,000 ppm 的有效氯、酒精、1% 的碘和苯酚碘伏灭活，通过加热（50 至 60°C 至少 30 分钟）、紫外线和伽马射线灭活",,,,,
基孔肯雅病毒,Chikungunya virus,37124,奇昆古尼亚病毒,病毒,单链RNA病毒,Viruses;?Riboviria;?Orthornavirae;?Kitrinoviricota;?Alsuviricetes;?Martellivirales;?Togaviridae;?Alphavirus,第二类,BSL-3,病毒直径约70nm，有包膜，含有3个结构蛋白（衣壳蛋白C、包膜蛋白E1和E2）和4个非结构蛋白（nsP1、nsP2、nsP3和nsP4）,ncbi.nlm.nih.gov/Taxonomy/taxi/images/6299,"人类,节肢动物,啮齿动物,哺乳动物,灵长类动物",蚊虫传播,新生儿、老年人、有疾病的人,中传染性,中致病性,奇昆古尼亚热,是,,很少致命,脑脊液，血液/体液，培养物，动物,4-7天,发热、关节痛、头痛、肌肉痛、关节肿、皮疹,夏、秋季，热带地区一年四季均可流行,全世界持续流行,CHIKV首先于1952年在坦桑尼亚联合共和国被发现，随后在非洲和亚洲的其他国家也有发现(1)。1967年在泰国以及1970年代在印度首次记录了城市中的疾病暴发(2)。自2004年以来，CHIKV的暴发变得更加频繁和广泛，部分原因是病毒适应使病毒更容易通过白纹伊蚊传播。CHIKV现已在亚洲、非洲、欧洲和美洲的110多个国家被发现。在高比例人口被感染后免疫的岛屿上，传播已被阻断；然而，在大部分人口尚未被感染的国家，传播往往持续存在。,GCF_000854045.1,https://www.ncbi.nlm.nih.gov/nuccore/27754751,25.7 ~ 51.0,11.8kb,,,,,"核酸检测：聚合酶链式反应(PCR)；
抗体检测：血清特异性IgM抗体检测",无,暂无商品化疫苗，但相关疫苗正在研发中,无,,,,"[1]Staples JE, Breiman RF, Powers AM. Chikungunya fever: an epidemiological review of a re-emerging infectious disease. Clin Infect Dis. 2009;49(6):942-948. 
[2]Wimalasiri-Yapa BMCR, Stassen L, Huang X, et al. Chikungunya virus in Asia - Pacific: a systematic review. Emerg Microbes Infect. 2019;8(1):70-79.                        [3]9708 8159534 ",,,,
脊髓灰质炎病毒,Enterovirus C,138950,,病毒,单链RNA病毒,K_?Viruses?| P_?Pisuviricota?| C_?Pisoniviricetes?| O_?Picornavirales?| F_?Picornaviridae?| G_?Enterovirus?| S_?Enterovirus C,第二类,BSL-2,,,人,粪-口途径,4月龄至5岁儿童最易感,,,脊髓灰质炎，小儿麻痹症,否,,5%-10%,"粪便,眼睛/耳朵/口/鼻",无症状3-5天，瘫痪型感染7-21天,发热，全身不适，严重时肢体疼痛，发生分布不规则和轻重不等的迟缓性瘫痪,四季均可，夏秋季为主,巴基斯坦和阿富汗,1988年以来，野生脊灰病毒引起的病例数减少了99%以上，从在逾125个流行国家中估计的35万例减至仅剩两个流行国家（截至2023年10月）。,GCF_000861165.1,https://www.ncbi.nlm.nih.gov/nuccore/12408699,43.0 ~ 48.5,7.4 kb,3个血清型：I型、II型、III型,,,,,有,现有两种疫苗可用：口服脊灰疫苗和灭活脊灰疫苗,无,,,可被电离辐射、甲醛、氧化剂和苯酚迅速灭活,[1] 25667329 ,,,,
加利福尼亚脑炎病毒,Orthobunyavirus encephalitidis,3052390,,病毒,单链RNA,Viruses;?Riboviria;?Orthornavirae;?Negarnaviricota;?Polyploviricotina;?Ellioviricetes;?Bunyavirales;?Peribunyaviridae;?Orthobunyavirus,第二类,,,,,蚊虫传播,未知,,,加利福尼亚脑炎,,,<1%,大脑,3-7天,轻者以发热、头痛、咽痛及胃肠道症状起病；重者24～48小时内昏迷，或中枢性呼吸衰竭；部分不出现症状和体征,,,,"
GCF_003972565.1",https://www.ncbi.nlm.nih.gov/nuccore/?from_uid=8143528&linkname=assembly_nuccore_refseq,36.5,12.5 kb,,,,,血清学检查,无,,无,,,,[1] 宁桂军.  2012年美国加利福尼亚州实验室人员感染致死性的脑膜炎球菌．《中国疫苗和免疫》，2014,,,,
甲型流感病毒（H1N1）, H1N1 subtype,114727, H1N1,病毒,反义单链RNA病毒,"Viruses,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Insthoviricetes,Articulavirales,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus ",3,BSL-2,包膜，通常是圆形的，但可以是丝状的。病毒直径为80-120纳米。,https://baike.baidu.com/pic/H1N1/2606983/0/48151723d3072965925807db?fr=lemma&fromModule=lemma_content-image,"Aquatic birds, Human, Pig, Horse, Seals","直接接触：接触
间接接触：飞沫传播",人体没有对这种病毒的免疫力,高传染性,高传染性,肺炎、腹泻、多脏器衰竭,是,中国法定丙类传染病,6%-7%,肺,1-7 天,在感染后患者会伴有发热、全身酸痛、腹痛和腹泻等症状。如果出现突然高热、继发严重并发症，甚至可能导致死亡。,季节交替,全球性分布,1918～1920年大流行 此次流行的首发于1918年1月美国东部，1918年4月在法国军队中流行，以后迅速蔓延，波及全球。此次大流行被称为人类历史上最大的瘟疫，造成的死亡总数估计约5000万人。2009年4月25日，突然传出猪流感在墨西哥爆发状况。2009年，H1N1流感在美国大面积爆发，并蔓延到214个国家和地区，导致近20万人死亡。,GCF_001343785.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_001343785.1/,,13.5 Kb,猪流感、禽流感和人流感,,血球凝集素（Hemagglutinin）第1型、神经氨酸酶（Neuraminidase）第1型,,"核酸检测：聚合酶链式反应(PCR)；
抗原检测：酶联免疫吸附试验(ELISA)",有,"1 猪流感全病毒灭活疫苗,猪流感灭活疫苗能有效保护断奶仔猪和种猪抵抗SI，使发病率降低30%～70%，使死亡率降低60%～87%。这类疫苗在欧美多个国家已实现商品化供应，例如Intervet公司的End－FLUence（with Imugen）和End FLUence（with Microsol Diluvac Forte），Pfizer公司的FluSure，以及Schering Plough动物保健公司的MaxiVac-FIu、MaxiVac Excell 3等等 2）人群中已开始全面使用第3代全裂解流感病毒亚单位疫苗",奥司他韦与扎那米韦,奥司他韦是神经氨酸酶抑制剂,血球凝集素（Hemagglutinin）第1型、神经氨酸酶（Neuraminidase）第1型,,,,,,
甲型流感病毒（H3N2）, H3N2 subtype,119210,H3N2,病毒,反义单链RNA,"Viruses; Varidnaviria; Bamfordvirae; Nucleocytoviricota; Pokkesviricetes; Chitovirales; PoxviridaeViruses,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Insthoviricetes,Articulavirales,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus ; Chordopoxvirinae; Orthopoxvirus",3,BSL-2,"甲型H3N2是甲型流感病毒的一个亚型,H被称为红细胞凝聚素，N被称作神经氨酸苷酶，它们都是糖蛋白，分布在病毒表面。H有1—15个亚型，N有1—9个亚型。",https://zhuanlan.zhihu.com/p/675265485,人类、猪、禽类,"直接接触：接触
间接接触：飞沫传播",各年龄段人群均易感，老人、儿童、身体虚弱者更容易发病，隐性感染者为主要传染源。,高传染性,高致病性,肺炎、腹泻、多脏器衰竭,是,中国法定丙类传染病,对于免疫力较强的人群，感染流感后病死率非常低，一般不会高于10%，对于慢性疾病多，免疫力极差的人群，感染流感后，若引起病毒性肺炎等并发症，死亡率可达100％。,肺,1-4天,在感染后患者会伴有发热、全身酸痛、腹痛和腹泻等症状。如果出现突然高热、继发严重并发症，甚至可能导致死亡。,季节交替,全球性分布,中国香港，成了这一次流感暴发的中心，所以又叫“香港流感”。1968年，H3N2流感病毒在中国南部和香港开始，向东南亚发展并造成了人类全球范围第三次流感，7月开始，从中国香港传入新加坡、泰国、日本、印度和澳大利亚，秋季到达欧洲后，在年底入侵美洲；到了1969年，又传至南美和南非；一直持续到1970年出现第二次高峰，在南方夏季和北方冬季流行。美国因这次流感死亡的人数3.4万，全球死亡人数为75万。,GCF_000865085.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_000865085.1/,43,13.6 kb,,,血球凝集素（Hemagglutinin）第1型、神经氨酸酶（Neuraminidase）第1型,,"核酸检测：聚合酶链式反应(PCR)；
抗原检测：酶联免疫吸附试验(ELISA)",有,流感疫苗,奥司他韦与扎那米韦,奥司他韦是神经氨酸酶抑制剂,血球凝集素（Hemagglutinin）第1型、神经氨酸酶（Neuraminidase）第1型,,,,,,
卡萨诺尔森林病病毒,Orthoflavivirus kyasanurense,3048170,"kyasanurense,Kyasanur Forest disease virus",病毒,正链单链RNA病毒,"Viruses,Riboviria,Orthornavirae,Kitrinoviricota,Flasuviricetes,Amarillovirales,Flaviviridae,Orthoflavivirus,Orthoflavivirus",1,BSL-4,无,无,人类、各种蜱虫物种、啮齿动物（鼩鼱、森林鼠）、猴子（灰叶猴、黑面叶猴、帽猕猴）、蝙蝠、松鼠、印度凤头豪猪，以及较小程度的家畜（山羊、奶、绵羊）,"?蜱虫 （?Haemaphysalis spinigera?） 叮咬，尤其是终生具有传染性的若虫蜱(4,5,12).据推测，KFDV 传播周期涉及蜱虫（至少涉及 10 种）、野生脊椎动物（小型啮齿动物、鼩鼱和猴子）和食虫动物（地栖鸟类和蝙蝠）(2,4,5,9).被感染的大型家畜（奶牛、山羊、绵羊）被认为仅对维持蜱虫种群很重要(9).此外，据信哺乳期猴子会在牛奶中排出微量的病毒",未知,无,无,Kyasanur Forest disease,是,无,2% 至 10%?,血液/体液,无,发冷、发烧、头痛、严重肌肉疼痛、呕吐、胃肠道症状、出血、严重头痛、精神障碍、震颤、视力障碍,森林旱季,印度,KFDV 于 1957 年首次被发现，当时它在印度卡纳塔克邦 Shimoga 区的 Kyasanur 森林中分离出来.调查生病猴子的兽医科学家以及利用森林的当地人被 KFDV 感染的蜱虫叮咬并患上了出血性疾病。在最初的疫情爆发期间，有 466 例人类病例，次年又有 181 例.KFDV 常见于森林旱季暴露的年轻人，此后每年导致 100 至 500 人患上出血热流行病，病死率估计在 2% 至 10% 之间,GCF_002820625.1?,https://www.ncbi.nlm.nih.gov/datasets/genome/?taxon=33743,53.8 ~ 55.4,10.4  Kb,无,无,无,no,RT-PCR、病毒分离、血清学分析（如?ELISA）、免疫荧光、血凝抑制试验和/或中和试验,有,在鸡胚成纤维细胞中生产的福尔马林灭活 KFDV 疫苗已获得许可，目前正在印度卡纳塔克邦的流行地区使用，并显示出有效的保护作用,无特效药，支持疗法,无,无,"被 3% 至 8% 的甲醛、2% 的戊二醛、2% 至 3% 的过氧化氢、500 至 5,000?ppm?的有效氯、酒精、1% 碘和苯酚碘伏灭活；通过加热（50 至 60°C 至少 30 分钟）、紫外线和伽马射线灭活",,,,,
口蹄疫病毒,foot and mouth disease virus,12110,FMDV,病毒,单链RNA病毒,Viruses;?Riboviria;?Orthornavirae;?Pisuviricota;?Pisoniviricetes;?Picornavirales;?Picornaviridae;?Caphthovirinae;?Aphthovirus,,BSL-3,病毒粒子(25-30nm)具有一个由蛋白质制成的二十面体衣壳，没有包膜，包含一个正义(mRNA 义)单链核糖核酸(RNA)基因组。,https://www.ncbi.nlm.nih.gov/Taxonomy/taxi/images/5585,牛、猪、羊以及山羊、鹿、野牛等偶蹄类动物,直接、间接和空气传播,通常与饮用受感染的牛奶或直接接触手足口病水疱有关,低传染性,低致病性,口蹄疫,是,,,皮肤,1-12天,高烧，两到三天后会迅速退去，口腔内的水泡会导致粘性或泡沫状唾液的过度分泌和流口水，脚上的水泡可能会破裂并导致跛行,,"On-going, endemic (Asia, Europe, Africa, South America)",,GCF _ 002816555.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_002816555.1/,24.6 ~ 55.7,8.2 kb,,,,,,,,无,,,,,,,,
库姆灵厄病毒,Kumlinge virus,11092,"Central European tick-borne encephalitis virus Kumlinge
Flavivirus kumlinge，KUMV",病毒,单链RNA病毒,Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthoflavivirus; Orthoflavivirus encephalitidis; Tick-borne encephalitis virus,I,BSL-4,Kumlinge 病毒具有球形形态，病毒颗粒的直径通常为约36纳米。这些病毒颗粒具有包膜，包膜包括围绕着衣壳的脂质层，并且展示了表面突起。,,人类，牛，赤松鼠、田鼠、山兔以及一些鸟类如黑鸫和歌鸫,媒介生物：被感染的硬蜱叮咬,,无传染性,中致病性,库姆林格病毒脑炎,否,\,\,,3~17天,发热（S）、头痛（S）、乏力（S）、结膜炎症（R）、颈部僵硬（S）、肌痛（R）、中枢神经系统症状（包括脑炎）（S）、中枢神经系统白细胞增多（S）、皮疹（R）、呕吐（S）和双相热,无季节规律,主要在北欧地区，尤其是芬兰，瑞典,无,无,无,无,无,无,无,无,无,"核酸检测：聚合酶链式反应(PCR)；
抗原检测：酶联免疫吸附试验(ELISA)",无,\,无,,,,,,,,
狂犬病病毒（街毒）,Lyssavirus rabies,11292,"Rabies lyssavirus,Rabies virus",病毒,反义单链RNA病毒,"Viruses,Riboviria,Orthornavirae,Negarnaviricota,Haploviricotina,Monjiviricetes,Mononegavirales,Rhabdoviridae,Alpharhabdovirinae,Lyssavirus,Lyssavirus rabies",2,BSL-3,包膜，子弹型 180 nm长， 75 nM 宽,https://viralzone.expasy.org/22,人类和许多哺乳动物，最常见的是野生和家养犬科动物（如狗、狐狸、土狼）、鼬科动物（如臭鼬、獾、苨类）、蛞螨类（如獴、果子狸、螨类）、螨类（如浣熊）以及食虫和嗜血蝙蝠,"直接接触：咬伤
间接接触：空气传播，飞沫传播、气溶胶",no,低传染性,高致病性,狂犬病病毒可导致急性感染，以脑脊髓炎为标志，通常是致命的。狂犬病的初始症状类似于其他全身性病毒感染，包括发烧、头痛、乏力、上呼吸道和胃肠道疾病,是,中国法定乙类传染病,几乎所有的临床狂犬病病例都是致命的（100%）,中枢神经系统,几天到7年以上，75%患者在接触后90内发病,在前驱期，发病动物往往表现为恍惚、无方向感，野生动物往往失去对人类天生的恐惧感。狂怒期的特点是侵略性增加和过度兴奋，喜欢撕咬无生命物体和其他动物，感染动物可能长距离游荡。狂怒这一表现形式在猫中比犬中多见。哑巴期常表现为肌肉无力、吞咽困难、大量流涎和下颌下垂。人的狂犬病又叫恐水症，表现为咽部麻痹、无法饮水。,无季节规律,除澳大利亚、英国、新西兰、日本等岛屿国家外其他国家和地区都有,"据估计，狂犬病每年导致全球55,000人死亡，其中绝大多数在非洲和亚洲几个国家，其中大多数是岛屿，没有狂犬病，包括不列颠群岛、新西兰、日本、台湾、许多加勒比岛屿、瑞典、挪威和西班牙。由于对进口动物的严格检疫法，这些国家仍然没有狂犬病。澳大利亚虽认为没有狂犬病，但蝙蝠传播的狂犬病在流行。，自1924年以来，加拿大共有23人死于狂犬病，",GCF_000859625.1 ,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_000859625.1/,22.2-46.3,11  Kb,furious and paralytic (or dumb),nAChR\NCAM\PTPN4等,G\N\L\M\P蛋白,no,病毒分离、RT-PCR和临床标本的免疫荧光,有,Imovax Rabies，人类二倍体细胞疫苗(HDCV)，或RabAvert，一种纯化鸡胚细胞疫苗(PCECV)。,有,利巴韦林和干扰素-γ有一定的疗效,有两种主要抗原:①病毒外膜上的糖蛋白抗原，能与乙酰胆碱受体结合使病毒具有神经毒性，并使体内产生中和抗体及血凝抑制抗体，中和抗体具有保护作用;②内层的核蛋白抗原，可使体内产生补体结合抗体和沉淀素，无保护作用。,70%的乙醇、苯酚、福尔马林、乙醚、胰蛋白、β-丙酮和其他一些洗涤剂而灭活，不耐受pH值（低于3或高于11），并被紫外线灭活,[1] 34217155,,,,
淋巴细胞脉络丛脑膜炎（嗜神经性的）病毒,Mammarenavirus choriomeningitidis,3052303,,病毒,RNA病毒,K_?Viruses?| P_?Negarnaviricota?| C_?Ellioviricetes?| O_?Bunyavirales?| F_?Arenaviridae?| G_?Mammarenavirus?| S_?Mammarenavirus choriomeningitidis,第二类,BSL-3,,,啮齿动物，人类,呼吸道、消化道感染、接触感染、器官移植传播、母婴传播,男女老幼均具易感性,,,淋巴细胞性脉络丛脑膜炎,是,,,尿液，气管/肺泡冲洗，脑脊液，腹腔引流，血液/体液,6天至数周,多样，包括流感样型、脑膜炎型等,秋冬季为主,世界性分布,在北美洲和南美洲，欧洲，澳大利亚和日本，特别是在1900年代，都报告了淋巴细胞脉络膜脑膜炎的病例。但是，只要有被感染的啮齿动物宿主存在，就可能发生感染。 LCMV遍布全球，其自然宿主啮齿动物在南极洲以外的所有大洲都已建立。 LCMV血清阳性率约为美国人口的5％（0.7-4.7％）。它在社会经济地位较低的人群中更常见，可能反映了与小鼠的更频繁和直接的接触。,,,39.0 ~ 45.9,,,,,,血清抗体检测,无,,无,,,56°C一小时可被灭活,,,,,
鹭山病毒,Getah virus,59300,,病毒,单链RNA病毒,K_?Viruses?| P_?Kitrinoviricota?| C_?Alsuviricetes?| O_?Martellivirales?| F_?Togaviridae?| G_?Alphavirus?| S_?Getah virus,第二类,BSL-3,,,脊椎动物/蚊,蚊虫传播,,,,,是,,,血液/体液,,,,持续流行(亚洲，澳洲),,GCF_000855805.1 ,https://www.ncbi.nlm.nih.gov/assembly/GCF_000855805.1,51.9 ~ 52.9,11.6 kb,,,,,,,,,,,,[1] 28827175 ,,,,
